dateOfLoss,totalAmountPaid,Date,ONI_Total,ONI_Anomaly,Resident Population,claimsPerCapita
1998-06-01,54545.31,1998-06-01,27.39,-0.13,20239001.136363637,0.0026950593871946497
1998-07-01,49305.14,1998-07-01,26.42,-0.78,20270753.40909091,0.0024323289324750955
1998-08-01,3074731.16,1998-08-01,25.79,-1.12,20303564.09090909,0.15143800104419644
1998-09-01,79291199.14,1998-09-01,25.44,-1.31,20336374.772727273,3.898983964749505
1998-10-01,146246734.62,1998-10-01,25.32,-1.35,20368127.045454547,7.1801758842935515
1998-11-01,26207417.19,1998-11-01,25.14,-1.48,20400937.727272727,1.2846182631578233
1998-12-01,188784.53,1998-12-01,25.01,-1.57,20432690.0,0.009239338041148766
1999-01-01,581391.56,1999-01-01,25.08,-1.55,20465500.681818184,0.028408372169292484
1999-02-01,282175.64,1999-02-01,25.55,-1.3,20498311.363636363,0.013765799289231918
1999-03-01,3626712.06,1999-03-01,26.17,-1.07,20527946.81818182,0.17667193373609985
1999-04-01,758189.26,1999-04-01,26.62,-0.98,20560757.5,0.03687555091294666
1999-05-01,1564153.41,1999-05-01,26.68,-1.02,20592509.772727273,0.07595739554153642
1999-06-01,516056.98,1999-06-01,26.49,-1.04,20625320.454545453,0.025020555735718045
1999-07-01,75622.11,1999-07-01,26.1,-1.1,20657072.727272727,0.003660833797625115
1999-08-01,1108229.62,1999-08-01,25.8,-1.11,20689883.40909091,0.05356384074707043
1999-09-01,91092.06,1999-09-01,25.58,-1.16,20722694.09090909,0.004395763388697683
1999-10-01,17582.19,1999-10-01,25.41,-1.26,20754446.363636363,0.0008471529277121822
1999-11-01,64859.090000000004,1999-11-01,25.16,-1.46,20787257.045454547,0.0031201370078878417
1999-12-01,40747.88,1999-12-01,24.93,-1.65,20819009.31818182,0.00195724394841467
2000-01-01,15064.05,2000-01-01,24.96,-1.66,20851820.0,0.0007224333415500421
2000-02-01,11337.880000000001,2000-02-01,25.44,-1.41,20888257.440733645,0.0005427872589261705
2000-03-01,733580.76,2000-03-01,26.17,-1.07,20922344.07883931,0.0350620732187431
2000-04-01,1845139.33,2000-04-01,26.78,-0.81,20958781.519572955,0.08803657446769338
2000-05-01,5989477.34,2000-05-01,27.0,-0.71,20994043.55899261,0.2852941275066785
2000-06-01,4039994.58,2000-06-01,26.88,-0.64,21030480.99972625,0.19210186300791635
2000-07-01,122232.12,2000-07-01,26.65,-0.55,21065743.03914591,0.005802411990541198
2000-09-01,198504.66,2000-09-01,26.2,-0.55,21138617.920613196,0.009390616772841585
2000-10-01,687179.26,2000-10-01,26.05,-0.63,21173879.96003285,0.03245410200195231
2000-11-01,1039474.58,2000-11-01,25.88,-0.75,21210317.400766492,0.049007969110468654
2000-12-01,6351.91,2000-12-01,25.81,-0.74,21245579.440186147,0.00029897560656713944
2001-01-01,34370.75,2001-01-01,25.88,-0.68,21282016.88091979,0.001615013755149062
2001-02-01,700824.17,2001-02-01,26.26,-0.52,21318454.321653437,0.0328740611033964
2001-03-01,968580.01,2001-03-01,26.76,-0.44,21351365.558445115,0.045363843701177096
2001-04-01,647156.02,2001-04-01,27.25,-0.34,21387802.999178756,0.030258181264566975
2001-05-01,487706.86,2001-05-01,27.49,-0.25,21423065.03859841,0.022765503401184085
2001-06-01,973973247.92,2001-06-01,27.47,-0.12,21459502.479332056,45.3865716997888
2001-07-01,768758.2,2001-07-01,27.2,-0.08,21494764.51875171,0.03576490448775779
2001-08-01,3987824.56,2001-08-01,26.86,-0.13,21531201.959485356,0.18521142328717993
2001-09-01,2766000.81,2001-09-01,26.63,-0.19,21567639.400218997,0.12824773071697007
2001-10-01,466539.95999999996,2001-10-01,26.48,-0.29,21602901.439638652,0.021596171296877596
2001-11-01,12984733.97,2001-11-01,26.37,-0.35,21639338.880372297,0.6000522493678238
2001-12-01,1310499.89,2001-12-01,26.31,-0.31,21674600.91979195,0.06046246917530692
2002-01-01,235431.76,2002-01-01,26.44,-0.15,21711038.360525597,0.010843873797766183
2002-02-01,5355.8099999999995,2002-02-01,26.81,0.03,21747475.80125924,0.0002462727191396568
2002-03-01,238639.39,2002-03-01,27.29,0.09,21780387.038050916,0.01095661842845541
2002-04-01,1181729.78,2002-04-01,27.8,0.2,21816824.47878456,0.054165984657811
2002-05-01,413178.17,2002-05-01,28.18,0.43,21852086.518204216,0.018907950490484996
2002-06-01,721466.8,2002-06-01,28.24,0.65,21888523.95893786,0.03296096170547853
2002-07-01,70355100.72,2002-07-01,28.06,0.79,21923785.998357516,3.209076239171047
2002-08-01,4710785.5,2002-08-01,27.85,0.86,21960223.439091157,0.21451446125153634
2002-09-01,18995961.84,2002-09-01,27.83,1.01,21996660.8798248,0.8635838841077456
2002-10-01,93676001.67,2002-10-01,27.97,1.21,22031922.919244457,4.251830492207098
2002-11-01,6096237.11,2002-11-01,28.03,1.31,22068360.3599781,0.27624331896699417
2002-12-01,1828751.03,2002-12-01,27.76,1.14,22103622.399397757,0.08273535427613109
2003-01-01,7414.490000000001,2003-01-01,27.51,0.92,22140059.8401314,0.0003348902421013509
2003-02-01,352176.65,2003-02-01,27.41,0.63,22176497.280865043,0.015880625580301858
2003-03-01,68893.05,2003-03-01,27.58,0.38,22209408.51765672,0.0031019759011244844
2003-04-01,21606.88,2003-04-01,27.56,-0.04,22245845.958390363,0.0009712770663077721
2003-05-01,21772.56,2003-05-01,27.48,-0.26,22281107.997810017,0.0009771758209753303
2003-06-01,458841.42,2003-06-01,27.42,-0.16,22317545.438543662,0.020559672266088676
2003-07-01,11324996.07,2003-07-01,27.35,0.08,22352807.477963317,0.5066475914117201
2003-08-01,140627.43,2003-08-01,27.2,0.21,22389244.91869696,0.006281026024355288
2003-09-01,1302128.22,2003-09-01,27.08,0.26,22425682.359430604,0.058064151588788554
2003-10-01,5909573.61,2003-10-01,27.05,0.29,22460944.39885026,0.26310441382431377
2003-11-01,33181386.48,2003-11-01,27.07,0.35,22497381.839583904,1.4748999113140224
